player_id,web_name,first_name,second_name,team,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,form,minutes,status
1,Raya,David,Raya Martín,Arsenal,6.0,36.5,45911,60956,68,3.0,1440,a
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,4.1,0.4,475,840,0,0.0,0,a
3,Hein,Karl,Hein,Arsenal,4.0,0.2,0,411,0,0.0,0,u
4,Setford,Tommy,Setford,Arsenal,3.9,0.2,1786,661,0,0.0,0,a
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,6.2,13.1,1954,106747,81,0.0,990,i
6,Saliba,William,Saliba,Arsenal,5.9,10.7,57567,14357,43,0.8,904,a
7,Calafiori,Riccardo,Calafiori,Arsenal,5.7,9.9,39702,40732,71,2.0,1166,a
8,J.Timber,Jurriën,Timber,Arsenal,6.5,33.1,79307,109141,80,2.6,1287,a
9,Kiwior,Jakub,Kiwior,Arsenal,5.4,0.1,0,30,0,0.0,0,u
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,5.1,1.8,2934,12362,9,0.6,195,a
11,White,Benjamin,White,Arsenal,5.4,2.1,2309,69674,22,3.2,280,d
13,Clarke,Brayden,Clarke,Arsenal,3.8,0.5,2583,1288,0,0.0,0,a
14,Kacurri,Maldini,Kacurri,Arsenal,3.9,0.1,0,196,0,0.0,0,u
15,Nichols,Josh,Nichols,Arsenal,3.8,0.2,488,389,0,0.0,0,a
16,Saka,Bukayo,Saka,Arsenal,10.3,22.8,142283,52075,75,6.0,1058,a
17,Ødegaard,Martin,Ødegaard,Arsenal,7.8,1.6,5524,9963,20,1.4,447,a
18,Madueke,Noni,Madueke,Arsenal,6.8,0.9,6650,9591,16,1.2,420,a
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,6.8,0.9,3960,4846,22,1.2,390,a
20,Trossard,Leandro,Trossard,Arsenal,6.9,0.8,13371,8492,59,3.8,792,a
21,Rice,Declan,Rice,Arsenal,7.1,22.2,135058,120240,86,4.2,1335,a
22,Merino,Mikel,Merino Zazón,Arsenal,6.1,4.0,32043,99308,52,5.8,757,a
23,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,5.4,0.0,0,10,0,0.0,0,u
