player_id,web_name,first_name,second_name,team,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,form,minutes,status
1,Raya,David,Raya Martín,Arsenal,6.0,36.5,45541,60390,68,3.0,1440,a
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,4.1,0.4,475,834,0,0.0,0,a
3,Hein,Karl,Hein,Arsenal,4.0,0.2,0,408,0,0.0,0,u
4,Setford,Tommy,Setford,Arsenal,3.9,0.2,1776,655,0,0.0,0,a
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,6.2,13.1,1946,106057,81,0.0,990,i
6,Saliba,William,Saliba,Arsenal,5.9,10.7,57041,14267,43,0.8,904,a
7,Calafiori,Riccardo,Calafiori,Arsenal,5.7,9.9,39262,40528,71,2.0,1166,a
8,J.Timber,Jurriën,Timber,Arsenal,6.5,33.1,78502,108362,80,2.6,1287,a
9,Kiwior,Jakub,Kiwior,Arsenal,5.4,0.1,0,30,0,0.0,0,u
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,5.1,1.8,2917,12166,9,0.6,195,a
11,White,Benjamin,White,Arsenal,5.4,2.1,2306,68693,22,3.2,280,d
13,Clarke,Brayden,Clarke,Arsenal,3.8,0.5,2559,1281,0,0.0,0,a
14,Kacurri,Maldini,Kacurri,Arsenal,3.9,0.1,0,196,0,0.0,0,u
15,Nichols,Josh,Nichols,Arsenal,3.8,0.2,483,387,0,0.0,0,a
16,Saka,Bukayo,Saka,Arsenal,10.3,22.8,141375,51348,75,6.0,1058,a
17,Ødegaard,Martin,Ødegaard,Arsenal,7.8,1.6,5485,9861,20,1.4,447,a
18,Madueke,Noni,Madueke,Arsenal,6.8,0.9,6617,9484,16,1.2,420,a
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,6.8,0.9,3937,4786,22,1.2,390,a
20,Trossard,Leandro,Trossard,Arsenal,6.9,0.8,13251,8452,59,3.8,792,a
21,Rice,Declan,Rice,Arsenal,7.1,22.2,133881,119374,86,4.2,1335,a
22,Merino,Mikel,Merino Zazón,Arsenal,6.1,4.0,31800,98372,52,5.8,757,a
23,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,5.4,0.0,0,10,0,0.0,0,u
24,Nørgaard,Christian,Nørgaard,Arsenal,5.2,0.1,216,339,2,0.0,14,a
25,Nwaneri,Ethan,Nwaneri,Arsenal,5.1,0.1,205,385,8,0.2,165,a
26,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,5.2,2.3,7412,16435,56,1.6,1320,a
28,Kabia,Ismeal,Kabia,Arsenal,4.5,0.1,0,153,0,0.0,0,u
29,Sambi,Albert,Sambi Lokonga,Arsenal,4.5,0.1,0,56,0,0.0,0,u
30,Havertz,Kai,Havertz,Arsenal,7.3,0.3,83,266,1,0.0,30,i
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,6.4,0.2,7284,1868,1,0.2,9,a
266,Eze,Eberechi,Eze,Arsenal,7.7,17.7,53002,284057,66,5.0,991,a
662,Mosquera,Cristhian,Mosquera,Arsenal,5.4,0.1,28,1231,17,0.6,429,i
666,Gyökeres,Viktor,Gyökeres,Arsenal,8.8,10.5,7691,59359,41,0.8,951,a
700,Dowman,Max,Dowman,Arsenal,4.3,0.4,1645,5307,5,0.0,27,i
711,Harriman-Annous,Andre,Harriman-Annous,Arsenal,4.5,0.0,56,55,0,0.0,0,a
725,Hincapie,Piero,Hincapié,Arsenal,5.5,2.9,17608,15037,20,3.6,473,a
759,Salmon,Marli,Salmon,Arsenal,4.0,0.0,135,60,0,0.0,0,a
32,Martinez,Emiliano,Martínez Romero,Aston Villa,5.1,3.3,2653,42775,54,2.8,1080,d
33,M.Bizot,Marco,Bizot,Aston Villa,4.2,0.4,783,882,9,0.4,360,a
34,Gauci,Joe,Gauci,Aston Villa,4.0,0.1,0,211,0,0.0,0,u
35,Marschall,Filip,Marschall,Aston Villa,4.0,0.0,0,21,0,0.0,0,u
36,Cash,Matty,Cash,Aston Villa,4.9,13.4,79951,67388,73,4.2,1412,a
37,Digne,Lucas,Digne,Aston Villa,4.5,1.8,4717,10943,52,2.0,987,a
38,Konsa,Ezri,Konsa Ngoyo,Aston Villa,4.4,7.7,14719,23214,47,2.8,1325,a
39,Maatsen,Ian,Maatsen,Aston Villa,4.2,0.5,2754,1381,11,1.0,447,a
40,Mings,Tyrone,Mings,Aston Villa,4.3,0.6,37,1767,24,0.0,497,i
41,Pau,Pau,Torres,Aston Villa,4.3,0.5,414,8850,39,2.8,952,i
42,A.García,Andrés,García,Aston Villa,3.9,0.2,497,545,0,0.0,0,a
43,Alex Moreno,Álex,Moreno Lopera,Aston Villa,4.0,1.9,0,4749,0,0.0,0,u
44,Bogarde,Lamare,Bogarde,Aston Villa,4.0,0.6,1728,1900,20,0.8,318,a
45,Sousa,Lino,da Cruz Sousa,Aston Villa,3.9,0.3,311,521,0,0.0,0,a
46,Yasin,Yasin,Özcan,Aston Villa,4.0,0.1,0,176,0,0.0,0,u
47,Rogers,Morgan,Rogers,Aston Villa,7.1,13.4,362518,28614,76,8.2,1426,a
48,Tielemans,Youri,Tielemans,Aston Villa,5.9,0.7,7592,1975,26,2.8,691,a
49,Bailey,Leon,Bailey,Aston Villa,5.5,0.1,0,67,0,0.0,0,u
50,Buendía,Emiliano,Buendía Stati,Aston Villa,5.3,0.5,4377,8469,49,2.0,555,a
51,Iling Jr,Samuel,Iling-Junior,Aston Villa,5.5,0.0,0,14,0,0.0,0,u
53,Malen,Donyell,Malen,Aston Villa,5.1,0.9,4836,9765,47,3.0,514,a
54,McGinn,John,McGinn,Aston Villa,5.4,0.7,5452,5051,45,3.0,1234,a
55,Barkley,Ross,Barkley,Aston Villa,4.8,0.0,20,231,15,1.0,114,i
56,Barrenechea,Enzo,Barrenechea,Aston Villa,5.0,0.0,0,1,0,0.0,0,u
57,Dobbin,Lewis,Dobbin,Aston Villa,5.0,0.0,0,12,0,0.0,0,u
58,Kamara,Boubacar,Kamara,Aston Villa,4.9,0.6,13364,5605,51,5.6,1070,a
59,Onana,Amadou,Onana,Aston Villa,4.8,0.8,6522,3670,40,3.2,727,a
60,Broggio,Ben,Broggio,Aston Villa,4.5,0.3,886,954,0,0.0,0,a
61,Dendoncker,Leander,Dendoncker,Aston Villa,4.5,0.1,0,171,0,0.0,0,u
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,Aston Villa,4.5,0.1,210,191,0,0.0,0,a
63,Young,Kadan,Young,Aston Villa,4.3,0.6,5599,2211,0,0.0,0,a
64,Watkins,Ollie,Watkins,Aston Villa,8.5,7.6,24602,33502,50,4.6,1193,a
65,Redmond,Zépiqueno,Redmond,Aston Villa,4.5,0.3,0,428,0,0.0,0,u
389,Elliott,Harvey,Elliott,Aston Villa,5.2,0.2,331,682,4,0.0,97,a
456,Sancho,Jadon,Sancho,Aston Villa,5.8,0.2,137,1803,7,0.6,126,n
677,Guessand,Evann,Guessand,Aston Villa,6.2,0.0,414,263,22,1.6,505,a
688,Wright,James,Wright,Aston Villa,3.9,0.6,1737,1347,0,0.0,0,a
701,Rowe,Triston,Rowe,Aston Villa,4.0,0.1,0,123,0,0.0,0,u
702,Burrowes,Bradley,Burrowes,Aston Villa,4.4,0.1,152,184,1,0.0,16,a
703,Proctor,Sam,Proctor,Aston Villa,3.9,0.5,9568,1128,0,0.0,0,a
710,Patterson,Travis,Patterson,Aston Villa,3.9,0.2,191,632,0,0.0,0,a
719,Lindelöf,Victor,Lindelöf,Aston Villa,4.5,0.1,783,186,8,1.0,115,a
754,George Hemmings,George,Hemmings,Aston Villa,4.5,0.0,59,24,0,0.0,0,a
757,Hollingshead,Ronnie,Hollingshead,Aston Villa,4.0,0.0,115,39,0,0.0,0,a
183,Weiss,Max,Weiß,Burnley,4.3,0.1,203,227,0,0.0,0,a
184,Green,Etienne,Green,Burnley,4.0,0.2,0,426,0,0.0,0,u
185,Hladký,Václav,Hladký,Burnley,3.9,0.2,488,367,0,0.0,0,a
186,Roberts,Connor,Roberts,Burnley,4.4,0.0,23,48,0,0.0,0,i
187,Walker,Kyle,Walker,Burnley,4.4,1.2,1811,3611,34,1.0,1350,a
188,Delcroix,Hannes,Delcroix,Burnley,3.8,0.3,1338,783,0,0.0,0,a
189,Dodgson,Owen,Dodgson,Burnley,4.0,0.0,0,12,0,0.0,0,u
190,Ekdal,Hjalmar,Ekdal,Burnley,3.9,0.8,772,2632,26,1.2,803,a
191,Estève,Maxime,Estève,Burnley,3.9,11.4,23309,24164,42,2.8,1432,a
192,Hartman,Quilindschy,Hartman,Burnley,4.0,1.0,5762,3717,46,2.0,1337,a
193,Humphreys,Bashir,Humphreys,Burnley,3.9,0.1,26,240,0,0.0,2,i
194,Jordan,Jordan,Beyer,Burnley,4.0,0.1,16,90,0,0.0,0,i
195,Lucas Pires,Lucas,Pires Silva,Burnley,3.8,0.2,1652,655,-2,-0.6,51,a
196,Sambo,Shurandy,Sambo,Burnley,4.0,0.0,0,44,0,0.0,0,u
197,Sonne,Oliver,Sonne,Burnley,3.8,0.3,11675,589,10,1.4,115,a
198,Tuanzebe,Axel,Tuanzebe,Burnley,3.9,1.3,63,10045,18,0.4,706,n
199,Worrall,Joe,Worrall,Burnley,3.9,0.2,142,366,5,0.2,64,a
200,Anthony,Jaidon,Anthony,Burnley,5.2,2.5,1945,29831,58,1.8,1046,a
201,Benson,Manuel,Benson Hedilazio,Burnley,5.4,0.0,0,10,0,0.0,0,u
202,Bruun Larsen,Jacob,Bruun Larsen,Burnley,5.3,0.0,139,146,23,1.4,646,a
203,Boateng,Enock,Agyei,Burnley,4.7,0.0,221,107,0,0.0,0,a
204,Churlinov,Darko,Churlinov,Burnley,4.9,0.0,0,16,0,0.0,0,u
205,Cullen,Josh,Cullen,Burnley,5.0,1.9,9333,12707,67,2.8,1371,a
206,Edwards,Marcus,Edwards,Burnley,4.7,0.1,347,175,6,0.6,83,a
207,Hannibal,Hannibal,Mejbri,Burnley,4.8,0.1,33,599,22,0.2,395,n
208,Koleosho,Luca,Koleosho,Burnley,5.0,0.0,0,7,0,0.0,0,u
209,Laurent,Josh,Laurent,Burnley,4.8,0.0,60,72,17,0.4,603,a
210,Tchaouna,Loum,Tchaouna,Burnley,4.9,0.0,77,143,28,1.2,629,a
211,A.Ramsey,Aaron,Ramsey,Burnley,4.4,1.7,0,3996,0,0.0,0,u
212,Adewumi,Oluwaseun,Adewumi,Burnley,4.5,0.0,0,16,0,0.0,0,u
213,Banel,Jaydon,Banel,Burnley,4.5,0.0,243,181,0,0.0,0,a
214,Trésor,Mike,Trésor Ndayishimiye,Burnley,4.4,0.1,304,249,1,0.2,7,a
215,Flemming,Zian,Flemming,Burnley,5.3,0.7,10074,9599,40,3.0,594,a
216,Amdouni,Zeki,Amdouni,Burnley,4.8,0.0,70,56,0,0.0,0,i
217,Foster,Lyle,Foster,Burnley,5.0,1.1,282,17883,36,1.6,866,n
218,Barnes,Ashley,Barnes,Burnley,4.3,1.2,4254,4230,1,0.0,7,a
219,Obafemi,Michael,Obafemi,Burnley,4.4,0.1,0,231,0,0.0,0,u
470,Dúbravka,Martin,Dúbravka,Burnley,4.0,33.5,26061,29695,44,1.8,1440,a
676,Ugochukwu,Lesley,Ugochukwu,Burnley,5.0,0.1,2035,707,47,3.0,880,a
680,Broja,Armando,Broja,Burnley,5.2,0.1,1896,662,12,1.4,286,a
722,Florentino,Florentino Ibrain,Morris Luís,Burnley,5.0,0.0,110,516,41,2.6,1009,a
66,Neto,Norberto,Murara Neto,Bournemouth,4.5,0.1,0,117,0,0.0,0,u
67,Petrović,Đorđe,Petrović,Bournemouth,4.5,5.6,25317,9314,53,2.6,1440,a
68,Dennis,Will,Dennis,Bournemouth,4.0,0.9,690,1428,0,0.0,0,a
69,McKenna,Callan,McKenna,Bournemouth,4.0,0.2,145,308,0,0.0,0,a
70,Paulsen,Alex,Paulsen,Bournemouth,4.0,0.1,0,121,0,0.0,0,u
71,Zabarnyi,Illia,Zabarnyi,Bournemouth,5.0,0.0,0,11,0,0.0,0,u
72,Senesi,Marcos,Senesi Barón,Bournemouth,4.9,16.4,67354,61806,72,2.8,1308,a
73,Smith,Adam,Smith,Bournemouth,4.4,0.2,1850,302,19,2.0,476,a
74,Truffert,Adrien,Truffert,Bournemouth,4.5,2.3,23250,5935,56,2.2,1412,a
75,Akinmboni,Matai,Akinmboni,Bournemouth,3.8,0.2,282,539,0,0.0,0,d
76,Bevan,Owen,Bevan,Bournemouth,3.9,0.2,168,278,0,0.0,0,a
77,Hill,James,Hill,Bournemouth,3.9,0.7,1102,1843,19,0.4,302,a
78,J.Araujo,Julián,Araujo Zúñiga,Bournemouth,3.8,0.7,3574,1575,0,0.0,0,a
79,Mepham,Chris,Mepham,Bournemouth,4.0,0.1,0,113,0,0.0,0,u
80,Soler,Julio,Soler Barreto,Bournemouth,4.0,0.2,1021,550,2,0.2,21,a
81,Kluivert,Justin,Kluivert,Bournemouth,7.0,0.8,10667,2945,26,1.6,643,a
82,Semenyo,Antoine,Semenyo,Bournemouth,7.6,43.5,298089,115847,89,2.8,1350,a
84,Tavernier,Marcus,Tavernier,Bournemouth,5.6,2.3,88839,7566,73,5.2,1246,a
85,Adams,Tyler,Adams,Bournemouth,5.0,0.4,1796,3642,50,2.6,1196,d
